School Name,City,State,Country,Website,Program Name,Degree Level,Accreditation Dates,Accredited Campus Locations,Criteria,Date of Next Comprehensive Review,Accredited By,International Mutual Recognition Aggreement
Air Force Institute of Technology,WPAFB,Ohio,United States,www.afit.edu,Engineering Management,Masters,"Oct 1, 2002 – Present",Main Campus,Engineering Management,2027-2028,EAC,
The University of Akron - College of Applied Science and Technology,Akron,Ohio,United States,www.uakron.edu,Electrical and Electronic Engineering Technology,Bachelors,"Oct 1, 1976 – Present",Main Campus,Electrical and Electronics Engineering Technology,2020-2021,ETAC,Sydney Accord
The University of Akron - College of Applied Science and Technology,Akron,Ohio,United States,www.uakron.edu,Construction Engineering Technology,Bachelors,"Oct 1, 1985 – Present",Main Campus,Construction Engineering Technology,2020-2021,ETAC,Sydney Accord
The University of Akron - College of Applied Science and Technology,Akron,Ohio,United States,www.uakron.edu,Mechanical Engineering Technology,Bachelors,"Oct 1, 1985 – Present",Main Campus,Mechanical Engineering Technology,2020-2021,ETAC,Sydney Accord
The University of Akron,Akron,Ohio,United States,www.uakron.edu,Land Surveying,Associates,"Oct 1, 2010 – Present","Main Campus, Belmont College",Surveying and Geomatics,2028-2029,ANSAC,
The University of Akron,Akron,Ohio,United States,www.uakron.edu,Surveying and Mapping,Bachelors,"Oct 1, 2010 – Present","Main Campus, Belmont College",Surveying and Geomatics,2028-2029,ANSAC,
The University of Akron,Akron,Ohio,United States,www.uakron.edu,Chemical Engineering,Bachelors,"Oct 1, 1970 – Present",Main Campus,"Chemical, Biochemical, Biomolecular Engineering",2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Akron,Akron,Ohio,United States,www.uakron.edu,Civil Engineering,Bachelors,"Oct 1, 1950 – Present",Main Campus,Civil Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Akron,Akron,Ohio,United States,www.uakron.edu,Electrical Engineering,Bachelors,"Oct 1, 1941 – Present",Main Campus,Electrical and Electronics Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Akron,Akron,Ohio,United States,www.uakron.edu,Mechanical Engineering,Bachelors,"Oct 1, 1941 – Present",Main Campus,Mechanical Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Akron,Akron,Ohio,United States,www.uakron.edu,Computer Engineering,Bachelors,"Oct 1, 2000 – Present",Main Campus,Computer Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Akron,Akron,Ohio,United States,www.uakron.edu,Biomedical Engineering,Bachelors,"Oct 1, 2000 – Present",Main Campus,Bioengineering and Biomedical Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Akron,Akron,Ohio,United States,www.uakron.edu,Aerospace Systems Engineering,Bachelors,"Oct 27, 2013 – Present",Main Campus,Aerospace Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Akron,Akron,Ohio,United States,www.uakron.edu,Corrosion Engineering,Bachelors,"Oct 1, 2014 – Present",Main Campus,General Criteria Only (EAC),2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Akron,Akron,Ohio,United States,www.uakron.edu,Construction Engineering Technology,Bachelors,"Oct 1, 1985 – Present",Main Campus,Construction Engineering Technology,2026-2027,ETAC,Sydney Accord
The University of Akron,Akron,Ohio,United States,www.uakron.edu,Electrical and Electronic Engineering Technology,Bachelors,"Oct 1, 1976 – Present",Main Campus,Electrical and Electronics Engineering Technology,2026-2027,ETAC,Sydney Accord
The University of Akron,Akron,Ohio,United States,www.uakron.edu,Mechanical Engineering Technology,Bachelors,"Oct 1, 1985 – Present",Main Campus,Mechanical Engineering Technology,2026-2027,ETAC,Sydney Accord
Alabama A&M University,Huntsville,Alabama,United States,www.aamu.edu,Computer Science,Bachelors,"Oct 1, 2003 – Present",Main Campus,Computer Science,2028-2029,CAC,Seoul Accord
Alabama A&M University,Huntsville,Alabama,United States,www.aamu.edu,Civil Engineering,Bachelors,"Oct 1, 1998 – Present",Main Campus,Civil Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
Alabama A&M University,Huntsville,Alabama,United States,www.aamu.edu,Electrical Engineering,Bachelors,"Oct 1, 1998 – Present",Main Campus,Electrical and Electronics Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
Alabama A&M University,Huntsville,Alabama,United States,www.aamu.edu,Mechanical Engineering,Bachelors,"Oct 1, 1998 – Present",Main Campus,Mechanical Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
University of Alabama at Birmingham,Birmingham,Alabama,United States,www.uab.edu,Computer Science,Bachelors,"Oct 1, 2005 – Present",University of Alabama at Birmingham,Computer Science,2024-2025,CAC,Seoul Accord
University of Alabama at Birmingham,Birmingham,Alabama,United States,www.uab.edu,Civil Engineering,Bachelors,"Oct 1, 1983 – Present",University of Alabama at Birmingham,Civil Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
University of Alabama at Birmingham,Birmingham,Alabama,United States,www.uab.edu,Electrical Engineering,Bachelors,"Oct 1, 1983 – Present",University of Alabama at Birmingham,Electrical and Electronics Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
University of Alabama at Birmingham,Birmingham,Alabama,United States,www.uab.edu,Materials Engineering,Bachelors,"Oct 1, 1983 – Present",University of Alabama at Birmingham,Materials Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
University of Alabama at Birmingham,Birmingham,Alabama,United States,www.uab.edu,Mechanical Engineering,Bachelors,"Oct 1, 1983 – Present",University of Alabama at Birmingham,Mechanical Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
University of Alabama at Birmingham,Birmingham,Alabama,United States,www.uab.edu,Biomedical Engineering,Bachelors,"Oct 1, 2005 – Present",University of Alabama at Birmingham,Bioengineering and Biomedical Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama in Huntsville,Huntsville,Alabama,United States,www.uah.edu,Computer Science,Bachelors,"Oct 1, 1988 – Present",Main Campus,Computer Science,2027-2028,CAC,Seoul Accord
The University of Alabama in Huntsville,Huntsville,Alabama,United States,www.uah.edu,Chemical Engineering,Bachelors,"Oct 1, 1986 – Present",Main Campus,"Chemical, Biochemical, Biomolecular Engineering",2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama in Huntsville,Huntsville,Alabama,United States,www.uah.edu,Industrial and Systems Engineering,Bachelors,"Oct 1, 1974 – Present",Main Campus,Industrial Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama in Huntsville,Huntsville,Alabama,United States,www.uah.edu,Mechanical Engineering,Bachelors,"Oct 1, 1976 – Present",Main Campus,Mechanical Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama in Huntsville,Huntsville,Alabama,United States,www.uah.edu,Aerospace Engineering,Bachelors,"Oct 1, 2002 – Present",Main Campus,Aerospace Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama in Huntsville,Huntsville,Alabama,United States,www.uah.edu,Cybersecurity Engineering,Bachelors,"Oct 1, 2020 – Present",Main Campus,Cybersecurity Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama in Huntsville,Huntsville,Alabama,United States,www.uah.edu,Civil Engineering,Bachelors,"Oct 1, 1987 – Present",Main Campus,Civil Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama in Huntsville,Huntsville,Alabama,United States,www.uah.edu,Computer Engineering,Bachelors,"Oct 1, 1990 – Present",Main Campus,Computer Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama in Huntsville,Huntsville,Alabama,United States,www.uah.edu,Electrical Engineering,Bachelors,"Oct 1, 1974 – Present",Main Campus,Electrical and Electronics Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama,Tuscaloosa,Alabama,United States,www.ua.edu,Computer Science,Bachelors,"Oct 1, 1990 – Present",Main Campus,Computer Science,2025-2026,CAC,Seoul Accord
The University of Alabama,Tuscaloosa,Alabama,United States,www.ua.edu,Cyber Security,Bachelors,"Oct 1, 2022 – Present",Main Campus,Cybersecurity,2025-2026,CAC,Seoul Accord
The University of Alabama,Tuscaloosa,Alabama,United States,www.ua.edu,Computer Engineering,Bachelors,"Oct 1, 1994 – Present",Main Campus,"Computer Engineering, Electrical and Electronics Engineering",2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama,Tuscaloosa,Alabama,United States,www.ua.edu,Electrical Engineering,Bachelors,"Oct 1, 1936 – Present",Main Campus,Electrical and Electronics Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama,Tuscaloosa,Alabama,United States,www.ua.edu,Mechanical Engineering,Bachelors,"Oct 1, 1936 – Present",Main Campus,Mechanical Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama,Tuscaloosa,Alabama,United States,www.ua.edu,Metallurgical Engineering,Bachelors,"Oct 1, 1949 – Present",Main Campus,Metallurgical Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama,Tuscaloosa,Alabama,United States,www.ua.edu,Aerospace Engineering,Bachelors,"Oct 1, 1936 – Present",Main Campus,Aerospace Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama,Tuscaloosa,Alabama,United States,www.ua.edu,Chemical Engineering,Bachelors,"Oct 1, 1950 – Present",Main Campus,"Chemical, Biochemical, Biomolecular Engineering",2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama,Tuscaloosa,Alabama,United States,www.ua.edu,Civil Engineering,Bachelors,"Oct 1, 1936 – Present",Main Campus,Civil Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama,Tuscaloosa,Alabama,United States,www.ua.edu,Construction Engineering,Bachelors,"Oct 1, 2007 – Present",Main Campus,Construction Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama,Tuscaloosa,Alabama,United States,www.ua.edu,Architectural Engineering,Bachelors,"Oct 1, 2015 – Present",Main Campus,Architectural Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama,Tuscaloosa,Alabama,United States,www.ua.edu,Environmental Engineering,Bachelors,"Oct 1, 2015 – Present",Main Campus,Environmental Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
University of Alaska Anchorage,Anchorage,Alaska,United States,uaa.alaska.edu,Geomatics,Bachelors,"Oct 1, 1995 – Present",Main Campus,Surveying and Geomatics,2028-2029,ANSAC,
University of Alaska Anchorage,Anchorage,Alaska,United States,uaa.alaska.edu,Computer Science,Bachelors,"Oct 1, 2011 – Present",Main Campus,Computer Science,2028-2029,CAC,Seoul Accord
University of Alaska Anchorage,Anchorage,Alaska,United States,uaa.alaska.edu,Civil Engineering,Bachelors,"Oct 1, 1984 – Present",Main Campus,Civil Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
University of Alaska Anchorage,Anchorage,Alaska,United States,uaa.alaska.edu,Electrical Engineering,Bachelors,"Oct 1, 2007 – Present",Main Campus,Electrical and Electronics Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
University of Alaska Anchorage,Anchorage,Alaska,United States,uaa.alaska.edu,Mechanical Engineering,Bachelors,"Oct 1, 2007 – Present",Main Campus,Mechanical Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
University of Alaska Anchorage,Anchorage,Alaska,United States,uaa.alaska.edu,Computer Systems Engineering,Bachelors,"Oct 1, 2007 – Present",Main Campus,Computer Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
University of Alaska Fairbanks,Fairbanks,Alaska,United States,www.uaf.edu/cem/,Computer Science,Bachelors,"Oct 1, 1991 – Present",Main Campus,Computer Science,2029-2030,CAC,Seoul Accord
University of Alaska Fairbanks,Fairbanks,Alaska,United States,www.uaf.edu/cem/,Civil Engineering,Bachelors,"Oct 1, 1940 – Present",Main Campus,Civil Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
University of Alaska Fairbanks,Fairbanks,Alaska,United States,www.uaf.edu/cem/,Electrical Engineering,Bachelors,"Oct 1, 1957 – Present",Main Campus,Electrical and Electronics Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
University of Alaska Fairbanks,Fairbanks,Alaska,United States,www.uaf.edu/cem/,Geological Engineering,Bachelors,"Oct 1, 1941 – Present",Main Campus,Geological Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
University of Alaska Fairbanks,Fairbanks,Alaska,United States,www.uaf.edu/cem/,Mechanical Engineering,Bachelors,"Oct 1, 1980 – Present",Main Campus,Mechanical Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
University of Alaska Fairbanks,Fairbanks,Alaska,United States,www.uaf.edu/cem/,Mining Engineering,Bachelors,"Oct 1, 1941 – Present",Main Campus,Mining Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
University of Alaska Fairbanks,Fairbanks,Alaska,United States,www.uaf.edu/cem/,Petroleum Engineering,Bachelors,"Oct 1, 1992 – Present",Main Campus,Petroleum Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
University of Alaska Fairbanks,Fairbanks,Alaska,United States,www.uaf.edu/cem/,Computer Engineering,Bachelors,"Oct 1, 2010 – Present",Main Campus,Computer Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
University at Albany - State University of New York,Albany,New York,United States,www.albany.edu,Computer Science-Combined,Bachelors,"Oct 1, 2019 – Present",Main Campus,Computer Science,2027-2028,CAC,Seoul Accord
University at Albany - State University of New York,Albany,New York,United States,www.albany.edu,Electrical and Computer Engineering,Bachelors,"Oct 1, 2019 – Present",Main Campus,"Computer Engineering, Electrical and Electronics Engineering",2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
University at Albany - State University of New York,Albany,New York,United States,www.albany.edu,Environmental and Sustainable Engineering,Bachelors,"Oct 1, 2020 – Present",Main Campus,Environmental Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
University at Albany - State University of New York,Albany,New York,United States,www.albany.edu,Nanoscale Engineering,Bachelors,"Oct 1, 2016 – Present",Albany Campus,General Criteria Only (EAC),2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
Alfred State College,Alfred,New York,United States,www.alfredstate.edu,Mechanical Engineering Technology,Associates,"Oct 1, 1954 – Present",Main Campus,Mechanical Engineering Technology,2024-2025,ETAC,Dublin Accord
Alfred State College,Alfred,New York,United States,www.alfredstate.edu,Mechanical Engineering Technology,Bachelors,"Oct 1, 1991 – Present",Main Campus,Mechanical Engineering Technology,2024-2025,ETAC,Sydney Accord
Alfred State College,Alfred,New York,United States,www.alfredstate.edu,Surveying Engineering Technology,Associates,"Oct 1, 1977 – Present",Main Campus,Surveying and Geomatics Engineering Technology,2024-2025,ETAC,Dublin Accord
Alfred State College,Alfred,New York,United States,www.alfredstate.edu,Surveying and Geomatics Engineering Technology,Bachelors,"Oct 1, 1992 – Present",Main Campus,Surveying and Geomatics Engineering Technology,2024-2025,ETAC,Sydney Accord
Alfred State College,Alfred,New York,United States,www.alfredstate.edu,Computer Engineering Technology,Associates,"May 1, 1999 – Present",Main Campus,Computer Engineering Technology,2024-2025,ETAC,Dublin Accord
Alfred State College,Alfred,New York,United States,www.alfredstate.edu,Computer Engineering Technology,Bachelors,"Oct 1, 2005 – Present",Main Campus,Computer Engineering Technology,2024-2025,ETAC,Sydney Accord
Alfred State College,Alfred,New York,United States,www.alfredstate.edu,Construction Management,Bachelors,"Oct 1, 2017 – Present",Main Campus,Construction Management,2024-2025,ANSAC,
Alfred State College,Alfred,New York,United States,www.alfredstate.edu,Construction Engineering Technology,Associates,"Oct 1, 1965 – Present",Main Campus,Construction Engineering Technology,2024-2025,ETAC,Dublin Accord
Alfred State College,Alfred,New York,United States,www.alfredstate.edu,Electrical Engineering Technology,Associates,"Oct 1, 1954 – Present",Main Campus,Electrical and Electronics Engineering Technology,2024-2025,ETAC,Dublin Accord
Alfred State College,Alfred,New York,United States,www.alfredstate.edu,Electrical Engineering Technology,Bachelors,"Oct 1, 1954 – Present",Main Campus,Electrical and Electronics Engineering Technology,2024-2025,ETAC,Sydney Accord
Alfred University,Alfred,New York,United States,www.alfred.edu,Ceramic Engineering,Bachelors,"Oct 1, 1936 – Present",Main Campus,Ceramic Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
Alfred University,Alfred,New York,United States,www.alfred.edu,Materials Science and Engineering,Bachelors,"Oct 1, 1976 – Present",Main Campus,Materials Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
Alfred University,Alfred,New York,United States,www.alfred.edu,Glass Engineering Science,Bachelors,"Oct 1, 1976 – Present",Main Campus,Ceramic Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
Alfred University,Alfred,New York,United States,www.alfred.edu,Mechanical Engineering,Bachelors,"Oct 1, 1988 – Present",Main Campus,Mechanical Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
Alfred University,Alfred,New York,United States,www.alfred.edu,Renewable Energy Engineering,Bachelors,"Oct 1, 2015 – Present",Main Campus,General Criteria Only (EAC),2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
Alfred University,Alfred,New York,United States,www.alfred.edu,Biomaterials Engineering,Bachelors,"Oct 1, 2022 – Present",Main Campus,Materials Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
American University,Washington,District of Columbia,United States,www.american.edu,Data Science,Bachelors,"Oct 1, 2022 – Present",Main Campus,Data Science (ANSAC),2029-2030,ANSAC,
Universidad Ana G. Mendez - Recinto de Carolina,Carolina,Puerto Rico,United States,https://uagm.edu/es/ingenieria-diseno-y-arquitectura/ingenieria/carolina,Electronic Engineering Technology,Associates,"Oct 1, 2015 – Present",Main Campus,Electrical and Electronics Engineering Technology,2028-2029,ETAC,Dublin Accord
Universidad Ana G. Mendez - Recinto de Carolina,Carolina,Puerto Rico,United States,https://uagm.edu/es/ingenieria-diseno-y-arquitectura/ingenieria/carolina,Engineering Technology in Avionics,Associates,"Oct 1, 2015 – Present",Main Campus,General Criteria Only (ETAC),2028-2029,ETAC,Dublin Accord
Universidad Ana. G. Mendez - Recinto de Gurabo,Gurabo,Puerto Rico,United States,https://gurabo.uagm.edu/,Mechanical Engineering,Bachelors,"Oct 1, 2003 – Present",Main Campus,Mechanical Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
Universidad Ana. G. Mendez - Recinto de Gurabo,Gurabo,Puerto Rico,United States,https://gurabo.uagm.edu/,Electrical Engineering,Bachelors,"Oct 1, 2007 – Present",Main Campus,Electrical and Electronics Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
Universidad Ana. G. Mendez - Recinto de Gurabo,Gurabo,Puerto Rico,United States,https://gurabo.uagm.edu/,Industrial and Management Engineering,Bachelors,"Oct 1, 2007 – Present",Main Campus,"Engineering Management, Industrial Engineering",2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
Universidad Ana. G. Mendez - Recinto de Gurabo,Gurabo,Puerto Rico,United States,https://gurabo.uagm.edu/,Computer Engineering,Bachelors,"Oct 1, 2009 – Present",Main Campus,Computer Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
Universidad Ana. G. Mendez - Recinto de Gurabo,Gurabo,Puerto Rico,United States,https://gurabo.uagm.edu/,Civil Engineering,Bachelors,"Oct 1, 2015 – Present",Main Campus,Civil Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
Anderson University (Indiana),Anderson,Indiana,United States,https://anderson.edu,Mechanical Engineering,Bachelors,"Oct 1, 2016 – Present",Main Campus,Mechanical Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
Anderson University (Indiana),Anderson,Indiana,United States,https://anderson.edu,Computer Engineering,Bachelors,"Oct 1, 2017 – Present",Main Campus,Computer Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
Anderson University (Indiana),Anderson,Indiana,United States,https://anderson.edu,Electrical Engineering,Bachelors,"Oct 1, 2017 – Present",Main Campus,Electrical and Electronics Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
Anderson University (Indiana),Anderson,Indiana,United States,https://anderson.edu,Mechatronics Engineering,Bachelors,"Oct 1, 2021 – Present",Main Campus,Mechatronics and Robotics Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
Andrews University,Berrien Springs,Michigan,United States,www.andrews.edu,Engineering,Bachelors,"Oct 1, 2006 – Present",Main Campus,"Engineering, General Engineering, Engineering Physics, and Engineering Science",2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Angelo State University,San Angelo,Texas,United States,http://www.angelo.edu/,Civil Engineering,Bachelors,"Oct 1, 2018 – Present",Main Campus,Civil Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Angelo State University,San Angelo,Texas,United States,http://www.angelo.edu/,Mechanical Engineering,Bachelors,"Oct 1, 2020 – Present",Main Campus,Mechanical Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Anne Arundel Community College,Arnold,Maryland,United States,www.aacc.edu,Information Assurance and Cybersecurity,Associates,"Oct 1, 2019 – Present","Main Campus, Arundel Mills (AMIL), Glen Burnie Town Center (GBTC)",Cybersecurity,2026-2027,CAC,
Appalachian State University,Boone,North Carolina,United States,www.appstate.edu,Computer Science,Bachelors,"Oct 1, 1986 – Present",Main Campus,Computer Science,2027-2028,CAC,Seoul Accord
The University of Arizona Global Campus,Chandler,Arizona,United States,https://www.uagc.edu/,Information Technology,Bachelors,"Oct 1, 2019 – Present",Main Campus,Information Technology,2027-2028,CAC,Seoul Accord
Arizona State University,Tempe,Arizona,United States,www.asu.edu,Aerospace Engineering,Bachelors,"Oct 1, 1987 – Present",Tempe Campus,Aerospace Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
Arizona State University,Tempe,Arizona,United States,www.asu.edu,Biomedical Engineering,Bachelors,"Oct 1, 1986 – Present",Tempe Campus,Bioengineering and Biomedical Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
Arizona State University,Tempe,Arizona,United States,www.asu.edu,Chemical Engineering,Bachelors,"Oct 1, 1966 – Present",Tempe Campus,"Chemical, Biochemical, Biomolecular Engineering",2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
Arizona State University,Tempe,Arizona,United States,www.asu.edu,Civil Engineering,Bachelors,"Oct 1, 1961 – Present",Tempe Campus,Civil Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
Arizona State University,Tempe,Arizona,United States,www.asu.edu,Computer Systems Engineering,Bachelors,"Oct 1, 1980 – Present",Tempe Campus,Computer Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
Arizona State University,Tempe,Arizona,United States,www.asu.edu,Electrical Engineering,Bachelors,"Oct 1, 1961 – Present","Tempe Campus, ASU Online",Electrical and Electronics Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
Arizona State University,Tempe,Arizona,United States,www.asu.edu,Industrial Engineering,Bachelors,"Oct 1, 1980 – Present",Tempe Campus,Industrial Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
Arizona State University,Tempe,Arizona,United States,www.asu.edu,Materials Science and Engineering,Bachelors,"Oct 1, 1996 – Present",Tempe Campus,Materials Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
Arizona State University,Tempe,Arizona,United States,www.asu.edu,Mechanical Engineering,Bachelors,"Oct 1, 1961 – Present",Tempe Campus,Mechanical Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
Arizona State University,Tempe,Arizona,United States,www.asu.edu,Engineering,Bachelors,"Oct 1, 2008 – Present",Arizona State University Polytechnic Campus,"Engineering, General Engineering, Engineering Physics, and Engineering Science",2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
